model_name,bert_name,total_params,trainable_params,param_size_mb
LightXML,xlnet,131913332,131913332,503.2094268798828
LightXML,distilbert,81557876,81557876,311.1186065673828
LightXML,bert-base,124677236,124677236,475.6059112548828
LightXML,distilbert,81557876,81557876,311.1186065673828
LightXML,roberta,139840628,139840628,533.4496612548828
LightXML,bert-base,228315098,228315098,870.9529800415039
LightXML,distilbert,185195738,185195738,706.4656753540039
LightXML,xlnet,235551194,235551194,898.5564956665039
LightXML,Roberta,228315098,228315098,870.9529800415039
LightXML,distilbert,185195738,185195738,706.4656753540039
